name,url,type,first_color,last_image_url
Knit maxi dress,https://us.maje.com/en/p/knit-maxi-dress/MFPRO03836_0103.html,dress,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6b1fba57/images/packshot/Maje_MFPRO03836-0103_F_P.jpg?sw=1520&sh=2000
Rhinestone cardigan,https://us.maje.com/en/p/rhinestone-cardigan/MFPCA00516_2517.html,cardigan,Pink,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw60a52d08/images/packshot/Maje_MFPCA00516-2517_F_P.jpg?sw=1520&sh=2000
Wool-blend cardigan,https://us.maje.com/en/p/wool-blend-cardigan/MFPCA00540_0067.html,cardigan,Camel,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dweca4ecf8/images/packshot/Maje_MFPCA00540-0067_F_P.jpg?sw=1520&sh=2000
Wool and silk jumper,https://us.maje.com/en/p/wool-and-silk-jumper/MFPPU00823_G005.html,jumper,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1972b945/images/packshot/Maje_MFPPU00823-G005_F_P.jpg?sw=1520&sh=2000
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPPU00873_0505.html,jumper,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw07e89fe8/images/packshot/Maje_MFPPU00873-0505_F_P.jpg?sw=1520&sh=2000
Tulle midi skirt,https://us.maje.com/en/p/tulle-midi-skirt/MFPJU00675_2517.html,skirt,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw023cc932/images/packshot/Maje_MFPJU00675-2517_H_P.jpg?sw=1520&sh=2000
Belted short coat,https://us.maje.com/en/p/belted-short-coat/MFPOU01128_0101.html,coat,Ecru,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8cd77018/images/packshot/Maje_MFPOU01128-0101_H_P.jpg?sw=1520&sh=2000
Dress in ribbed knit,https://us.maje.com/en/p/dress-in-ribbed-knit/MFPRO03703_2517.html,knit,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwc1fca5ef/images/packshot/Maje_MFPRO03703-2517_H_P.jpg?sw=1520&sh=2000
Jersey top with lace trim,https://us.maje.com/en/p/jersey-top-with-lace-trim/MFPTO00920_2517.html,top,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw42739fa2/images/packshot/Maje_MFPTO00920-2517_H_P.jpg?sw=1520&sh=2000
Cropped faux fur jacket,https://us.maje.com/en/p/cropped-faux-fur-jacket/MFPVE00577_0130.html,jacket,Beige,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw22a5c5ab/images/packshot/Maje_MFPVE00577-0130_F_P.jpg?sw=1520&sh=2000
