name,url,type
Beaded cropped shirt,https://us.maje.com/en/p/beaded-cropped-shirt/MFPCM00581_10.html,shirt
Striped rhinestone shirt,https://us.maje.com/en/p/striped-rhinestone-shirt/MFPCM00587_L027.html,shirt
Long skirt with contrast waistband,https://us.maje.com/en/p/long-skirt-with-contrast-waistband-/MFPJU01291_2517.html,skirt
Striped patchwork shirt,https://us.maje.com/en/p/striped-patchwork-shirt-/MFPCM00583_D041.html,shirt
Short cotton dress,https://us.maje.com/en/p/short-cotton-dress-/MFPRO03657_10.html,dress
Striped rhinestone short dress,https://us.maje.com/en/p/striped-rhinestone-short-dress/MFPRO03726_L027.html,dress
Long trench coat,https://us.maje.com/en/p/long-trench-coat/MFPOU01207_G017.html,coat
Short studded trench coat,https://us.maje.com/en/p/short-studded-trench-coat/MFPOU01256_0130.html,coat
Studded elastic waist trench coat,https://us.maje.com/en/p/studded-elastic-waist-trench-coat/MFPOU01206_0130.html,coat
Short tartan print skirt,https://us.maje.com/en/p/short-tartan-print-skirt/MFPSH00600_C016.html,skirt
Striped suit jacket,https://us.maje.com/en/p/striped-suit-jacket/MFPVE00559_D043.html,jacket
Wide-leg trousers with tweed braces,https://us.maje.com/en/p/wide-leg-trousers-with-tweed-braces/MFPPA00680_2517.html,braces
Striped Bermuda shorts,https://us.maje.com/en/p/striped-bermuda-shorts-/MFPSH00572_D043.html,shorts
Striped trousers,https://us.maje.com/en/p/striped-trousers-/MFPPA00637_D043.html,trousers
Sleeveless suit jacket,https://us.maje.com/en/p/sleeveless-suit-jacket-/MFPVE00562_2517.html,jacket
Sequinned skort,https://us.maje.com/en/p/sequinned-skort/MFPSH00606_2517.html,skort
Wide-leg suit trousers with pleats,https://us.maje.com/en/p/wide-leg-suit-trousers-with-pleats-/MFPPA00638_0201.html,pleats
Suit jacket,https://us.maje.com/en/p/suit-jacket/MFPVE00563_0201.html,jacket
Straight-leg suit trousers,https://us.maje.com/en/p/straight-leg-suit-trousers/MFPPA00654_0020.html,trousers
Belted suit jacket,https://us.maje.com/en/p/belted-suit-jacket/MFPVE00614_G005.html,jacket
Striped layered effect shorts,https://us.maje.com/en/p/striped-layered-effect-shorts-/MFPSH00570_D043.html,shorts
Rhinestone layered skort,https://us.maje.com/en/p/rhinestone-layered-skort/MFPSH00579_B050.html,skort
Suit jacket with brooch,https://us.maje.com/en/p/suit-jacket-with-brooch/MFPVE00635_2517.html,jacket
Wide-leg suit trousers,https://us.maje.com/en/p/wide-leg-suit-trousers/MFPPA00683_2517.html,trousers
Slim-fit suit jacket,https://us.maje.com/en/p/slim-fit-suit-jacket/MFPVE00592_0020.html,jacket
Wide-leg suit trousers,https://us.maje.com/en/p/wide-leg-suit-trousers/MFPPA00663_G005.html,trousers
Rhinestone suit trousers,https://us.maje.com/en/p/rhinestone-suit-trousers/MFPPA00640_B050.html,trousers
Short tweed jacket,https://us.maje.com/en/p/short-tweed-jacket/MFPVE00634_2517.html,jacket
Rhinestone suit jacket,https://us.maje.com/en/p/rhinestone-suit-jacket/MFPVE00578_B050.html,jacket
Rhinestone jacket,https://us.maje.com/en/p/rhinestone-jacket/MFPVE00579_B050.html,jacket
Padded jacket,https://us.maje.com/en/p/padded-jacket/MFPOU01273_2517.html,jacket
Contrast quilted puffer jacket,https://us.maje.com/en/p/contrast-quilted-puffer-jacket/MFPOU01265_0020.html,jacket
Silver hooded jacket,https://us.maje.com/en/p/silver-hooded-jacket/MFPOU01303_0500.html,jacket
Belted short wool coat,https://us.maje.com/en/p/belted-short-wool-coat/MFPOU01215_0103.html,coat
Double-faced mid-length coat,https://us.maje.com/en/p/double-faced-mid-length-coat/MFPOU01236_0101.html,coat
Double-faced short jacket,https://us.maje.com/en/p/double-faced-short-jacket/MFPVE00624_0103.html,jacket
Double-sided jacket,https://us.maje.com/en/p/double-sided-jacket/MFPVE00593_0067.html,jacket
Double-faced mid-length coat,https://us.maje.com/en/p/double-faced-mid-length-coat/MFPOU01301_2517.html,coat
Belted double-faced jacket,https://us.maje.com/en/p/belted-double-faced-jacket/MFPOU01285_0515.html,jacket
Two-tone double-faced coat,https://us.maje.com/en/p/two-tone-double-faced-coat/MFPOU01307_O001.html,coat
Wool jacket,https://us.maje.com/en/p/wool-jacket/MFPBL00753_2517.html,jacket
Wool coat with removable collar,https://us.maje.com/en/p/wool-coat-with-removable-collar/MFPOU01299_0101.html,collar
Long double-faced coat with belt,https://us.maje.com/en/p/long-double-faced-coat-with-belt/MFPOU01271_0505.html,belt
Double-faced coat,https://us.maje.com/en/p/double-faced-coat/MFPOU01259_O013.html,coat
Double-faced coat,https://us.maje.com/en/p/double-faced-coat/MFPOU01259_0284.html,coat
Two-tone double-faced coat,https://us.maje.com/en/p/two-tone-double-faced-coat/MFPOU01307_1167.html,coat
