Name,Type,Color,Image_URL
FIONA DRESS,DRESS,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a08_122164_6046_off_a.jpg
GOLIGHTLY CARDIGAN,CARDIGAN,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_114360_11420_off_a.jpg
CONTOUR TWIST OFF-SHOULDER LONGSLEEVE,LONGSLEEVE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a01_122506_33421_off_a.jpg
COMODA MERINO WOOL TURTLENECK,TURTLENECK,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_122740_6046_off_a.jpg
POLARTEC® THERMAL PRO® 1/2 ZIP SWEATER,SWEATER,SUGARPLUM LILAC,https://assets.aritzia.com/image/upload/medium/f24_a03_90884_31040_off_a.jpg
CONTOUR SQUARENECK LONGSLEEVE MINI DRESS,DRESS,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a08_122360_33421_off_a.jpg
HARLOW MERINO WOOL SWEATER,SWEATER,VINTAGE WHITE/ MULTI,https://assets.aritzia.com/image/upload/medium/f24_a03_124189_33832_off_a.jpg
POLARTEC® THERMAL PRO® MOCKNECK ZIP-UP,ZIP-UP,RICH MOCHA BROWN,https://assets.aritzia.com/image/upload/medium/f24_a03_121396_18891_off_a.jpg
THE SUPER PUFF™ SHORTY,SHORTY,HERBAGE GREEN,https://assets.aritzia.com/image/upload/medium/f24_a05_117954_23852_off_a.jpg
THE SUPER PUFF™ LONG,LONG,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a05_84577_1274_off_a.jpg
THE SUPER PUFF™ MID,MID,MODERN TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a05_117858_6038_off_a.jpg
THE SUPER PUFF™ VEST,VEST,MATTE PEARL,https://assets.aritzia.com/image/upload/medium/f24_a05_117857_15104_off_a.jpg
COZY FLEECE PERFECT HOODIE,HOODIE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a03_116209_33421_off_a.jpg
COZY FLEECE BOYFRIEND ZIP HOODIE,HOODIE,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a03_123119_2819_off_a.jpg
COZY FLEECE MEGA SWEATPANT™,SWEATPANT™,TOURMALINE TEAL,https://assets.aritzia.com/image/upload/medium/f24_a06_116237_33528_off_a.jpg
POLARTEC® THERMAL PRO® MOCKNECK HIP ZIP-UP,ZIP-UP,MULLEIN,https://assets.aritzia.com/image/upload/medium/f24_a03_90610_11908_off_a.jpg
SILVERSTONE TURTLENECK,TURTLENECK,WHISPER WHITE,https://assets.aritzia.com/image/upload/medium/f24_a03_121683_2175_off_a.jpg
COZY FLEECE MEGA RAGLAN™ HOODIE,HOODIE,TOURMALINE TEAL,https://assets.aritzia.com/image/upload/medium/f24_a03_116266_33528_off_a.jpg
COZY FLEECE MEGA CARGO™ SWEATPANT,SWEATPANT,HEATHER LIGHT OATMEA,https://assets.aritzia.com/image/upload/medium/f24_a06_116230_19631_off_a.jpg
COZY FLEECE SNUG ZIP HOODIE,HOODIE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a03_122799_33421_off_a.jpg
CONTOUR RAVISH TOP,TOP,BRIGHT WHITE,https://assets.aritzia.com/image/upload/medium/f24_a01_119720_14396_off_a.jpg
VALLEY DRESS,DRESS,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a08_122456_33421_off_a.jpg
MARLENE SATIN  DRESS,DRESS,CHROME GREY,https://assets.aritzia.com/image/upload/medium/f24_a08_122901_32815_off_a.jpg
MELITA SATIN DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_122161_2819_off_a.jpg
YANNI DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_122761_2819_off_a.jpg
THE CONSTANT™ COAT,COAT,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a05_122678_1274_off_a.jpg
AZALEA LONGSLEEVE,LONGSLEEVE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a01_122125_33421_off_a.jpg
REGAL BLAZER,BLAZER,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a04_123196_11420_off_a.jpg
CONTOUR GEOMETRIC BODYSUIT,BODYSUIT,TOURMALINE TEAL,https://assets.aritzia.com/image/upload/medium/f24_a28_122782_33528_off_a.jpg
EXCLUSIVE SATIN DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_124211_2819_off_a.jpg
REMEDY LONGSLEEVE DRESS,DRESS,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a08_123549_1274_off_a.jpg
IDA DRESS,DRESS,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a08_123548_33421_off_a.jpg
CONTOUR TURTLENECK LONGSLEEVE,LONGSLEEVE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a01_122861_33421_off_a.jpg
ASTRID LONGLSEEVE,LONGLSEEVE,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a01_122124_6046_off_a.jpg
DELVINA PONTE DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_122724_2819_off_a.jpg
TEDDY COAT,COAT,SAVILLE,https://assets.aritzia.com/image/upload/medium/f24_a05_120611_19170_off_a.jpg
CASHMERE RELAXED ZIP HOODIE,HOODIE,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_121781_1274_off_a.jpg
CASHMERE HOODIE,HOODIE,STONEPINE GREEN,https://assets.aritzia.com/image/upload/medium/f24_a03_122842_33506_off_a.jpg
CASHMERE RELAXED CREW SWEATER,SWEATER,CORNFLOWER BLUE,https://assets.aritzia.com/image/upload/medium/f24_a03_121652_29719_off_a.jpg
ADLER SWEATER,SWEATER,HEATHER BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_123476_7325_off_a.jpg
SOFTMORE VINCE SWEATER,SWEATER,H.LIGHT COOL GREY,https://assets.aritzia.com/image/upload/medium/f24_a01_122811_13327_off_a.jpg
THE ONLY COAT,COAT,CLASSIC CAMEL,https://assets.aritzia.com/image/upload/medium/f24_a05_102437_2529_off_a.jpg
ELSIE DRESS,DRESS,STONEPINE GREEN,https://assets.aritzia.com/image/upload/medium/f24_a08_122168_33506_off_a.jpg
BREA BOMBER,BOMBER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a04_119888_1274_off_a.jpg
THE COCOON COAT NEW,NEW,HEATHER LIGHT OATMEAL,https://assets.aritzia.com/image/upload/medium/f24_a05_102408_19631_off_a.jpg
ROMY MERINO WOOL CARDIGAN,CARDIGAN,CLAREMONT,https://assets.aritzia.com/image/upload/medium/f24_a03_122471_11884_off_a.jpg
CAMILA SWEATER,SWEATER,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_122143_6046_off_a.jpg
CONTOUR SERIES DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_122778_2819_off_a.jpg
HOMESTRETCH™ CREW LONGSLEEVE,LONGSLEEVE,GD DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a01_102669_23354_off_a.jpg
POLARTEC® THERMAL PRO®️ FIELD SWEATER,SWEATER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_122262_1274_off_a.jpg
